L,T,J,D,Bx,By,Bz,seed,therm_sweeps,samples,skip,proposal_width,E_density_mean,E_density_stderr,M_abs_mean,M_abs_stderr,chi_abs,chi_vec,Cv_per_spin,helical_order_mean,helical_order_stderr,helical_susc_like,acceptance_rate,q_peak_final,axis_peak_final,n_peak_final,ml_configs_saved
16,1.3,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-1.7793176807463142,0.0004856793267328,0.0290441056539394,0.0002281883731762,0.4921810344043693,3.1137887218183864,1.7151169293558006,0.0050355915745045,4.774151063017713e-05,0.021544189673957,0.8204983723958333,5.497787143782138,2,14,0
16,1.3,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-1.7827978186556168,0.0004947824275781,0.0297697158519747,0.0002241340518549,0.4748468211484395,3.2152055072836627,1.7800124183818389,0.0055464128542432,6.04509617212825e-05,0.0345417454484366,0.820361376953125,0.7853981633974482,0,2,0
16,1.3,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-1.7816201762250252,0.0004735750749893,0.0288180510920607,0.0002094016269658,0.414474631098072,2.9489927888648246,1.6306928669170402,0.0051067585636827,4.537302037331531e-05,0.0194595696116715,0.8203686848958333,5.497787143782138,1,14,0
16,1.3,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-1.7823103849544226,0.0004510276027242,0.0276892506602087,0.000206397834345,0.4026689317555955,2.7737382365921124,1.4791109111094536,0.0043795780452698,3.9696376019833184e-05,0.0148949679098453,0.8203667317708333,0.7853981633974482,0,2,0
16,1.35,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-1.700992339024212,0.0004867065126126,0.028719584894593,0.0002301069853116,0.4819556096154195,2.8577408769198,1.5971583665883589,0.0040833539671305,3.5850146783451486e-05,0.0116984765953821,0.8274191243489583,0.3926990816987241,1,1,0
16,1.35,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-1.69878302585643,0.0004557024767657,0.0277675650650668,0.000227564540131,0.4713642204733685,2.767228232695537,1.400156057721174,0.0041579810426519,3.657605932161699e-05,0.0121770267579591,0.8276704427083333,5.890486225480862,1,15,0
16,1.35,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-1.7047619433999852,0.0004579723611225,0.0255551924231954,0.0002062544832884,0.3872168334364724,2.2927584965748924,1.4141393379913154,0.0044627961606718,3.369815617458329e-05,0.0103361716184551,0.8273515299479167,5.497787143782138,0,14,0
16,1.35,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-1.698098656590431,0.0004330485874597,0.0274409719084401,0.0002071336632937,0.3905249686821326,2.6669024874460088,1.2644070781846946,0.004849924955279,4.753954326231703e-05,0.0205710966200521,0.8277571451822917,5.497787143782138,1,14,0
16,1.35,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-1.7010623455980216,0.0004701580028514,0.0282420685762124,0.0002183101415782,0.4338057026300047,2.7272139850204384,1.4903948167158014,0.0041043404974082,2.842394410387284e-05,0.0073538728247303,0.8275316080729167,0.7853981633974482,0,2,0
16,1.4,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-1.6262932215252262,0.000480224590884,0.0280878487231492,0.0002123600178136,0.3958208555811037,2.675292807188589,1.4458189804550083,0.0038778882764621,3.656592633339413e-05,0.0117356277931377,0.8343108886718749,0.7853981633974482,0,2,0
